unique_key,complaint_text,agency,agency_name,borough,created_date,status,open_data_channel_type
67617157,problem: snow or ice. details: snow tracking. location type: street. borough: manhattan,DSNY,Department of Sanitation,manhattan,2026-01-26T02:03:32.000,Closed,ONLINE
67615832,problem: noise - residential. details: loud television. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:58:15.000,Closed,ONLINE
67612686,problem: snow or ice. details: snow tracking. location type: street. borough: queens,DSNY,Department of Sanitation,queens,2026-01-26T01:55:05.000,Closed,ONLINE
67617087,problem: snow or ice. details: snow tracking. location type: street. borough: staten island,DSNY,Department of Sanitation,staten island,2026-01-26T01:54:12.000,Closed,PHONE
67615593,problem: snow or ice. details: snow tracking. location type: street. borough: staten island,DSNY,Department of Sanitation,staten island,2026-01-26T01:49:35.000,Closed,PHONE
67611498,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:48:41.000,Closed,PHONE
67608597,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:47:51.000,Closed,ONLINE
67614152,problem: snow or ice. details: snow tracking. location type: street. borough: brooklyn,DSNY,Department of Sanitation,brooklyn,2026-01-26T01:46:26.000,Closed,PHONE
67607083,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:42:31.000,Closed,MOBILE
67616000,problem: noise - residential. details: loud talking. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-26T01:41:43.000,Closed,PHONE
67614499,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-26T01:37:36.000,Closed,PHONE
67606671,problem: snow or ice. details: snow tracking. location type: street. borough: staten island,DSNY,Department of Sanitation,staten island,2026-01-26T01:35:56.000,Closed,PHONE
67610091,problem: noise - vehicle. details: car/truck music. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-26T01:35:51.000,Closed,PHONE
67615904,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:34:28.000,Closed,MOBILE
67608305,problem: snow or ice. details: snow tracking. location type: street. borough: bronx,DSNY,Department of Sanitation,bronx,2026-01-26T01:32:46.000,Closed,ONLINE
67608601,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:31:11.000,Closed,PHONE
67614101,problem: snow or ice. details: snow tracking. location type: street. borough: queens,DSNY,Department of Sanitation,queens,2026-01-26T01:29:36.000,Closed,PHONE
67607113,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:29:15.000,Closed,ONLINE
67611200,problem: snow or ice. details: snow tracking. location type: street. borough: brooklyn,DSNY,Department of Sanitation,brooklyn,2026-01-26T01:29:13.000,Closed,PHONE
67608544,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-26T01:29:00.000,Closed,ONLINE
67607084,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-26T01:25:59.000,Closed,PHONE
67606785,problem: snow or ice. details: snow tracking. location type: street. borough: staten island,DSNY,Department of Sanitation,staten island,2026-01-26T01:22:08.000,Closed,ONLINE
67615585,problem: snow or ice. details: snow tracking. location type: street. borough: queens,DSNY,Department of Sanitation,queens,2026-01-26T01:22:06.000,Closed,MOBILE
67609951,problem: blocked driveway. details: no access. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-26T01:17:21.000,Closed,ONLINE
67612972,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:16:33.000,Closed,ONLINE
67610050,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:14:25.000,Closed,ONLINE
67615960,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:13:21.000,Closed,ONLINE
67614456,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-26T01:12:35.000,Closed,MOBILE
67617072,problem: snow or ice. details: snow tracking. location type: street. borough: staten island,DSNY,Department of Sanitation,staten island,2026-01-26T01:12:12.000,Closed,PHONE
67614500,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-26T01:11:08.000,Closed,MOBILE
67612687,problem: snow or ice. details: snow tracking. location type: street. borough: queens,DSNY,Department of Sanitation,queens,2026-01-26T01:11:04.000,Closed,ONLINE
67605586,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-26T01:10:14.000,Closed,MOBILE
67608636,problem: noise - street/sidewalk. details: loud music/party. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-26T01:09:30.000,Closed,ONLINE
67617052,problem: snow or ice. details: snow tracking. location type: street. borough: staten island,DSNY,Department of Sanitation,staten island,2026-01-26T01:09:09.000,Closed,MOBILE
67612904,problem: blocked driveway. details: no access. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-26T01:09:05.000,Closed,MOBILE
67615921,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-26T01:07:55.000,Closed,ONLINE
67605570,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-26T01:05:53.000,Closed,PHONE
67606743,problem: snow or ice. details: snow tracking. location type: street. borough: staten island,DSNY,Department of Sanitation,staten island,2026-01-26T01:04:35.000,Closed,ONLINE
67614153,problem: snow or ice. details: snow tracking. location type: street. borough: queens,DSNY,Department of Sanitation,queens,2026-01-26T01:02:08.000,Closed,MOBILE
67612963,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-26T01:00:45.000,Closed,PHONE
67614124,problem: snow or ice. details: snow tracking. location type: street. borough: queens,DSNY,Department of Sanitation,queens,2026-01-26T01:00:21.000,Closed,ONLINE
